"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TGF_BETA_SIGNALING",0.0096038469439755,0.0228663022475607,0.380730400722792,-0.470323049429941,-1.59683709248215,54,"NOG,ARID4B,TRIM33,UBE2D3,TGFBR1,PPM1A,KLF10,XIAP,CTNNB1,FNTA,MAP3K7,SKIL,SPTBN1,ACVR1,TGIF1,BMPR2,SMURF2,APC,THBS1,SLC20A1,ID3,ID2,SMAD7"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0116888653862603,0.0265656031505917,0.380730400722792,0.222554714317373,1.24880494878956,198,"HLA-DQA1,SERPING1,OASL,SAMD9L,IFIT3,FCGR1A,TNFAIP2,ZBP1,ISG15,MX1,RNF213,IFI35,HLA-DRB1,IFIT2,OAS3,NFKBIA,SP110,CD74,IFI27,TRIM25,TNFAIP6,PTPN1,STAT3,TRIM21,ISG20,TRAFD1,RNF31,MX2,VAMP5,TAP1,RSAD2,HELZ2,TRIM14,PARP14,NOD1,IRF7,IFITM2,WARS1,UPP1,PML,PLSCR1,SOCS3,FPR1,IL18BP,ICAM1"
"HALLMARK_PEROXISOME",0.0160063491531055,0.0347964112024032,0.352487857583619,-0.388088478495189,-1.44535706840887,104,"LONP2,ISOC1,EPHX2,RDH11,SLC25A17,PEX2,ABCD3,SIAH1,SCP2,VPS4B,ELOVL5,NUDT19,CNBP,MSH2,BCL10,CLN8,PEX13,SOD1,SMARCC1,IDH1,ALDH9A1,GNPAT,HSD17B11,CAT,PEX11B,ECI2,ACSL5,PABPC1,IDE,SLC23A2,DHRS3,IDI1,ITGB1BP1,ALDH1A1,ABCB9,ERCC1"
"HALLMARK_UV_RESPONSE_DN",0.0227322536624295,0.0473588617967282,0.352487857583619,-0.359004895452447,-1.37786939271641,144,"ADD3,RASA2,INPP4B,DLG1,NEK7,NR3C1,INSIG1,AGGF1,PRKCA,DYRK1A,SCAF8,ATP2B1,NR1D2,CDKN1B,ATRX,SRI,SLC7A1,PTEN,TOGARAM1,ATP2C1,FBLN5,ACVR2A,FYN,TENT4A,MIOS,PHF3,CDK13,ANXA4,NIPBL,TGFBR2,YTHDC1,SFMBT1,SYNJ2,CITED2,MTA1,MRPS31,WDR37,DMAC2L,PRDM2,ZMIZ1,TGFBR3,CELF2,PDLIM5,AKT3,SMAD7,BHLHE40,BCKDHB,MYC,ABCC1"
"HALLMARK_APICAL_JUNCTION",0.0334250602803143,0.0668501205606286,0.321775918075361,0.210234084403711,1.18540048453174,199,"MMP9,MYL9,EGFR,SIRPA,ACTN1,BAIAP2,MADCAM1,NECTIN2,PBX2,CTNNA1,PECAM1,PLCG1,NLGN2,ALOX15B,MAPK14,MVD,ACTN2,ACTN4,MPZL1,YWHAH,CD276,THY1,TSPAN4,ADAM23,STX4,BMP1,FSCN1,ICAM4,CDH11,PPP2R2C,ADRA1B,NECTIN1,ICAM1,B4GALT1,MMP2,GTF2F1,LAMC2,CDSN,NF2,JAM3,VASP,NF1,CD209,CERCAM,NRAP,MAPK11,RAC2,IKBKG,NLGN3,GNAI2,DMP1,ZYX,SORBS3,CD34,VCL,CLDN9,ADAM15,LAMA3,PARVA,NFASC,INPPL1,MYH9,MAPK13,ACTB,NRXN2,COL9A1,FLNC,NECTIN4,TJP1,SRC,CLDN19,SDC3,SYMPK,CLDN5,CLDN11,CLDN8,WNK4,SYK,CADM2,CDH6,ACTG2,CNTN1,COL16A1,ICAM5,PARD6G,CLDN15"
"HALLMARK_ANGIOGENESIS",0.0714374076234575,0.136332651670075,0.287805130535564,0.323246891384592,1.32782783434044,36,"PGLYRP1,SPP1,TIMP1,PDGFA,NRP1,COL3A1,APOH,JAG2,FGFR1,MSX1,KCNJ8,POSTN,THBD"
"HALLMARK_IL2_STAT5_SIGNALING",0.0736196319018405,0.136332651670075,0.16440575583821,-0.318048573595476,-1.24658760748273,198,"PRNP,PHTF2,BCL2,RORA,CDC42SE2,SLC39A8,FGL2,SOCS2,ITGA6,NT5E,LRIG1,GPR65,TIAM1,RHOH,LRRC8C,SNX14,SWAP70,FLT3LG,PTCH1,ICOS,IKZF2,ALCAM,MAP3K8,HOPX,ITGAV,CCND2,AHR,NFKBIZ,CTLA4,TRAF1,CD44,CASP3,ANXA4,P4HA1,TWSG1,PLAGL1,TTC39B,BMPR2,TNFSF10,EMP1,ITGAE,NCOA3,CYFIP1,GBP4,IRF8,PRKCH,RABGAP1L,TGM2,CISH,GUCY1B1,PLIN2,CD48,PTGER2,HUWE1,XBP1,CA2,TLR7,RRAGD,IFNGR1,IRF4,UMPS,CD81,IL2RB,AMACR,BHLHE40,DHRS3"
"HALLMARK_MITOTIC_SPINDLE",0.0940695296523517,0.167981302950628,0.143758989039275,-0.313966541481537,-1.23116877479019,199,"RASA2,SMC4,LRPPRC,RAPGEF6,DLG1,TLK1,NUMA1,RICTOR,LATS1,ARHGEF3,PCGF5,RASA1,ARF6,TUBGCP3,CEP57,ROCK1,NIN,ABI1,PPP4R2,RANBP9,NCK1,TIAM1,SMC3,STK38L,HOOK3,PKD2,CDC27,CD2AP,CNTRL,KIF5B,PCM1,ARHGAP5,NEDD9,SMC1A,NET1,TUBD1,SPTBN1,RACGAP1,MARCKS,YWHAE,CEP192,APC,ARFGEF1,ALMS1,WASL,FBXO5,RAB3GAP1,BCR,SOS1,PALLD,KIFAP3,CENPJ,CCDC88A"
"HALLMARK_INFLAMMATORY_RESPONSE",0.106897416001836,0.184305889658338,0.287805130535564,0.196115160806247,1.0984823990138,200,"MXD1,TNFRSF9,NLRP3,SLC4A4,FFAR2,KIF1B,KLF6,PTAFR,NFKBIA,BEST1,GP1BA,CD14,PDPN,IL18R1,TNFAIP6,ITGB3,RNF144B,PLAUR,CSF1,TIMP1,TNFRSF1B,CHST2,ITGA5,SLC1A2,PSEN1,CD82,PVR,HAS2,OSM,SLC7A2,IRF7,ICAM4,NMUR1,SCN1B,RAF1,LDLR,STAB1,FPR1,ICAM1,RGS16,ADRM1,CMKLR1,NPFFR2,BST2,IFITM1,AXL,SEMA4D,ADGRE1,P2RY2,ICOSLG,LYN,NFKB1,IL1R1,CSF3R,LPAR1,HRH1,EIF2AK2,MEFV,GPR132,PTPRE,MSR1,OSMR,RHOG,IL1B,TLR2,TAPBP"
"HALLMARK_COMPLEMENT",0.136734693877551,0.227891156462585,0.116234148779716,-0.304586917629845,-1.19493949746732,200,"ERAP2,CD36,PDP1,DOCK10,KIF2A,FCN1,USP16,GNG2,ZEB1,DOCK9,RASGRP1,USP14,CD46,GNAI3,GNB4,GZMK,DYRK2,DUSP6,GMFB,PPP2CB,KLKB1,USP15,ADAM9,PIK3CG,LIPA,FYN,MMP8,LCK,LAMP2,RBSN,VCPIP1,DPP4,GATA3,CASP7,CBLB,CASP3,PIK3CA,RNF4,HPCAL4,FDX1,CD40LG,DGKH,DUSP5,CD55,LCP2,CALM1,CASP10,USP8,GPD2,CTSS,SH2B3,CA2,AKAP10,SPOCK2"
